09h08m50s	 1.4238e-004	 1.1695e-002	 5.7125e+016	 1.6719e+016	 3.2419e+016	 5.4695e+016	 1.1729e+020	 1.5534e+019	 2.8841e+003	 7.1042e+002	-2.3341e+022	 1.6969e+023	-2.6791e-001	 2.3298e-002	-1.1923e+000	-2.7565e-002	 7.0291e-002	-1.0386e-003	 0.0000e+000
09h09m48s	 1.4771e-004	 1.1912e-002	 5.1043e+016	 1.7028e+016	 2.4847e+016	 5.5707e+016	 1.1739e+020	 1.5821e+019	 3.1812e+003	 7.2357e+002	 4.3325e+022	 1.7283e+023	-2.9282e-001	 2.3729e-002	-1.2359e+000	-2.9073e-002	 6.9901e-002	-9.9596e-004	 0.0000e+000
09h10m48s	 1.4770e-004	 1.1911e-002	 7.0061e+016	 1.7028e+016	 2.9661e+016	 5.5705e+016	 1.1587e+020	 1.5821e+019	 2.9134e+003	 7.2355e+002	 1.9500e+022	 1.7283e+023	-2.9529e-001	 2.3728e-002	-1.2438e+000	-2.8832e-002	 6.9713e-002	-1.0355e-003	 0.0000e+000
09h11m48s	 1.4568e-004	 1.1830e-002	 6.6479e+016	 1.6911e+016	 3.2422e+016	 5.5324e+016	 1.1665e+020	 1.5712e+019	 2.9287e+003	 7.1859e+002	 1.4407e+022	 1.7164e+023	-2.8869e-001	 2.3566e-002	-1.2197e+000	-2.8205e-002	 6.9463e-002	-1.0294e-003	 0.0000e+000
09h12m48s	 1.4399e-004	 1.1761e-002	 7.3775e+016	 1.6813e+016	 3.7862e+016	 5.5002e+016	 1.1663e+020	 1.5621e+019	 2.8182e+003	 7.1442e+002	 7.9888e+020	 1.7065e+023	-2.8147e-001	 2.3429e-002	-1.2118e+000	-2.8054e-002	 7.0109e-002	-1.0437e-003	 0.0000e+000
09h13m48s	 1.4359e-004	 1.1745e-002	 6.9482e+016	 1.6790e+016	 3.7635e+016	 5.4926e+016	 1.1567e+020	 1.5599e+019	 2.7991e+003	 7.1343e+002	-1.3672e+022	 1.7041e+023	-2.7335e-001	 2.3397e-002	-1.1936e+000	-2.7402e-002	 7.0069e-002	-1.0583e-003	 0.0000e+000
09h14m48s	 1.6196e-004	 1.2473e-002	 5.9384e+016	 1.7831e+016	 1.4240e+016	 5.8334e+016	 1.1777e+020	 1.6567e+019	 3.4850e+003	 7.5769e+002	 1.4724e+023	 1.8098e+023	-3.7042e-001	 2.4848e-002	-1.3732e+000	-3.2160e-002	 7.0515e-002	-9.0660e-004	 0.0000e+000
09h15m48s	 1.4429e-004	 1.1773e-002	 7.2573e+016	 1.6830e+016	 3.6699e+016	 5.5059e+016	 1.1491e+020	 1.5637e+019	 2.8232e+003	 7.1515e+002	-1.0838e+022	 1.7082e+023	-2.7682e-001	 2.3453e-002	-1.2062e+000	-2.7918e-002	 7.0026e-002	-1.0484e-003	 0.0000e+000
09h16m48s	 1.4004e-004	 1.1598e-002	 6.5841e+016	 1.6580e+016	 3.9595e+016	 5.4242e+016	 1.1825e+020	 1.5405e+019	 2.8107e+003	 7.0453e+002	-5.5974e+022	 1.6829e+023	-2.4906e-001	 2.3105e-002	-1.1483e+000	-2.6570e-002	 7.0807e-002	-1.0403e-003	 0.0000e+000
09h17m50s	 1.4545e-004	 1.1820e-002	 7.5868e+016	 1.6898e+016	 3.7942e+016	 5.5280e+016	 1.1680e+020	 1.5700e+019	 2.9083e+003	 7.1802e+002	 3.9032e+021	 1.7151e+023	-2.8340e-001	 2.3547e-002	-1.2121e+000	-2.8034e-002	 6.9779e-002	-1.0310e-003	 0.0000e+000
09h18m48s	 1.4257e-004	 1.1703e-002	 5.6656e+016	 1.6730e+016	 3.1103e+016	 5.4730e+016	 1.1724e+020	 1.5544e+019	 2.8697e+003	 7.1088e+002	-2.9628e+022	 1.6980e+023	-2.6620e-001	 2.3313e-002	-1.1993e+000	-2.7842e-002	 7.0430e-002	-1.0037e-003	 0.0000e+000
09h19m50s	 1.4529e-004	 1.1814e-002	 6.8951e+016	 1.6889e+016	 3.2695e+016	 5.5250e+016	 1.1556e+020	 1.5691e+019	 2.9316e+003	 7.1764e+002	 1.2952e+022	 1.7142e+023	-2.8532e-001	 2.3535e-002	-1.2162e+000	-2.8404e-002	 7.0139e-002	-1.0256e-003	 0.0000e+000
09h20m48s	 1.4726e-004	 1.1894e-002	 6.7378e+016	 1.7003e+016	 3.2959e+016	 5.5623e+016	 1.1639e+020	 1.5797e+019	 2.9787e+003	 7.2248e+002	 2.8492e+022	 1.7257e+023	-2.9308e-001	 2.3693e-002	-1.2423e+000	-2.9130e-002	 6.9674e-002	-1.0221e-003	 0.0000e+000
09h21m48s	 1.3853e-004	 1.1536e-002	 6.4416e+016	 1.6491e+016	 3.7942e+016	 5.3949e+016	 1.1903e+020	 1.5322e+019	 2.8874e+003	 7.0074e+002	-5.1862e+022	 1.6738e+023	-2.5396e-001	 2.2980e-002	-1.1580e+000	-2.6963e-002	 7.0355e-002	-1.0406e-003	 0.0000e+000
09h22m48s	 1.4421e-004	 1.1770e-002	 6.5945e+016	 1.6825e+016	 3.4681e+016	 5.5044e+016	 1.1575e+020	 1.5633e+019	 2.8916e+003	 7.1495e+002	-3.0740e+021	 1.7078e+023	-2.8121e-001	 2.3447e-002	-1.2141e+000	-2.8052e-002	 7.0060e-002	-1.0476e-003	 0.0000e+000
09h23m48s	 1.4035e-004	 1.1611e-002	 7.1932e+016	 1.6599e+016	 3.6985e+016	 5.4302e+016	 1.1670e+020	 1.5422e+019	 2.7746e+003	 7.0531e+002	-4.3655e+022	 1.6847e+023	-2.5997e-001	 2.3130e-002	-1.1706e+000	-2.6907e-002	 7.0500e-002	-1.0674e-003	 0.0000e+000
09h24m48s	 1.4344e-004	 1.1738e-002	 7.2300e+016	 1.6780e+016	 3.7569e+016	 5.4897e+016	 1.1688e+020	 1.5591e+019	 2.8680e+003	 7.1304e+002	-3.1664e+021	 1.7032e+023	-2.7803e-001	 2.3384e-002	-1.2128e+000	-2.8058e-002	 7.0351e-002	-1.0147e-003	 0.0000e+000
