# Results obtained using Qdoas (Qdoas version 3.2 - 12 September 2017), Royal Belgian Institute for Space Aeronomy (BIRA-IASB), http://uv-vis.aeronomie.be/software/QDOAS
# NO2_425-490.Chi	NO2_425-490.RMS	NO2_425-490.SlCol(NO2)	NO2_425-490.SlErr(NO2)	NO2_425-490.SlCol(no2a)	NO2_425-490.SlErr(no2a)	NO2_425-490.SlCol(O3)	NO2_425-490.SlErr(O3)	NO2_425-490.SlCol(O4)	NO2_425-490.SlErr(O4)	NO2_425-490.SlCol(H2O)	NO2_425-490.SlErr(H2O)	NO2_425-490.SlCol(Ring)	NO2_425-490.SlErr(Ring)	NO2_425-490.Offset (Constant)	NO2_425-490.Offset (Order 1)	NO2_425-490.Shift(Spectrum)	NO2_425-490.Stretch(Spectrum)1	NO2_425-490.Stretch(Spectrum)2	
 1.4238e-004	 1.1695e-002	 5.7125e+016	 1.6719e+016	 3.2419e+016	 5.4695e+016	 1.1729e+020	 1.5534e+019	 2.8841e+003	 7.1042e+002	-2.3341e+022	 1.6969e+023	-2.6791e-001	 2.3298e-002	-1.1923e+000	-2.7565e-002	 7.0291e-002	-1.0386e-003	 0.0000e+000	
 1.4771e-004	 1.1912e-002	 5.1043e+016	 1.7028e+016	 2.4847e+016	 5.5707e+016	 1.1739e+020	 1.5821e+019	 3.1812e+003	 7.2357e+002	 4.3325e+022	 1.7283e+023	-2.9282e-001	 2.3729e-002	-1.2359e+000	-2.9073e-002	 6.9901e-002	-9.9598e-004	 0.0000e+000	
 1.4770e-004	 1.1911e-002	 7.0062e+016	 1.7028e+016	 2.9662e+016	 5.5705e+016	 1.1588e+020	 1.5821e+019	 2.9135e+003	 7.2355e+002	 1.9513e+022	 1.7283e+023	-2.9530e-001	 2.3728e-002	-1.2438e+000	-2.8834e-002	 6.9713e-002	-1.0356e-003	 0.0000e+000	
 1.4568e-004	 1.1830e-002	 6.6478e+016	 1.6911e+016	 3.2422e+016	 5.5324e+016	 1.1665e+020	 1.5712e+019	 2.9286e+003	 7.1859e+002	 1.4403e+022	 1.7164e+023	-2.8869e-001	 2.3566e-002	-1.2197e+000	-2.8205e-002	 6.9463e-002	-1.0294e-003	 0.0000e+000	
 1.4399e-004	 1.1761e-002	 7.3775e+016	 1.6813e+016	 3.7862e+016	 5.5002e+016	 1.1662e+020	 1.5621e+019	 2.8181e+003	 7.1442e+002	 7.9518e+020	 1.7065e+023	-2.8147e-001	 2.3429e-002	-1.2118e+000	-2.8054e-002	 7.0109e-002	-1.0437e-003	 0.0000e+000	
 1.4359e-004	 1.1745e-002	 6.9485e+016	 1.6790e+016	 3.7638e+016	 5.4926e+016	 1.1568e+020	 1.5599e+019	 2.7993e+003	 7.1343e+002	-1.3650e+022	 1.7041e+023	-2.7337e-001	 2.3397e-002	-1.1937e+000	-2.7404e-002	 7.0066e-002	-1.0586e-003	 0.0000e+000	
 1.6196e-004	 1.2473e-002	 5.9390e+016	 1.7831e+016	 1.4245e+016	 5.8334e+016	 1.1778e+020	 1.6567e+019	 3.4857e+003	 7.5769e+002	 1.4731e+023	 1.8098e+023	-3.7045e-001	 2.4848e-002	-1.3734e+000	-3.2168e-002	 7.0513e-002	-9.0675e-004	 0.0000e+000	
 1.4429e-004	 1.1773e-002	 7.2572e+016	 1.6830e+016	 3.6698e+016	 5.5059e+016	 1.1491e+020	 1.5637e+019	 2.8231e+003	 7.1515e+002	-1.0852e+022	 1.7082e+023	-2.7681e-001	 2.3453e-002	-1.2061e+000	-2.7917e-002	 7.0026e-002	-1.0483e-003	 0.0000e+000	
 1.4004e-004	 1.1598e-002	 6.5841e+016	 1.6580e+016	 3.9595e+016	 5.4242e+016	 1.1825e+020	 1.5405e+019	 2.8107e+003	 7.0453e+002	-5.5970e+022	 1.6829e+023	-2.4906e-001	 2.3105e-002	-1.1483e+000	-2.6570e-002	 7.0807e-002	-1.0403e-003	 0.0000e+000	
 1.4545e-004	 1.1820e-002	 7.5869e+016	 1.6898e+016	 3.7943e+016	 5.5280e+016	 1.1680e+020	 1.5700e+019	 2.9083e+003	 7.1802e+002	 3.9097e+021	 1.7151e+023	-2.8340e-001	 2.3547e-002	-1.2122e+000	-2.8034e-002	 6.9779e-002	-1.0310e-003	 0.0000e+000	
