09h08m50s	 2.5568e+017	 1.3032e+017	-6.9983e-001	 1.1140e-002	  4.793732e+004
09h09m48s	 2.4000e+017	 1.3042e+017	-7.0077e-001	 1.1143e-002	  4.408652e+004
09h10m48s	 2.6215e+017	 1.2984e+017	-7.0057e-001	 1.1125e-002	  4.214162e+004
09h11m48s	 2.6736e+017	 1.3020e+017	-7.0033e-001	 1.1131e-002	  4.495371e+004
09h12m48s	 2.5961e+017	 1.3003e+017	-7.0024e-001	 1.1117e-002	  4.571465e+004
09h13m48s	 2.6470e+017	 1.2972e+017	-7.0017e-001	 1.1117e-002	  4.685131e+004
09h14m48s	 2.4175e+017	 1.3087e+017	-7.0276e-001	 1.1112e-002	  3.635307e+004
09h15m48s	 2.6244e+017	 1.2999e+017	-7.0027e-001	 1.1134e-002	  4.624332e+004
09h16m48s	 2.7266e+017	 1.3007e+017	-6.9965e-001	 1.1129e-002	  5.302719e+004
09h17m50s	 2.6638e+017	 1.3050e+017	-7.0046e-001	 1.1119e-002	  4.536327e+004
09h18m48s	 2.5099e+017	 1.3036e+017	-6.9964e-001	 1.1136e-002	  4.735070e+004
09h19m50s	 2.6809e+017	 1.3020e+017	-7.0034e-001	 1.1109e-002	  4.598131e+004
09h20m48s	 2.6655e+017	 1.3017e+017	-7.0070e-001	 1.1108e-002	  4.374280e+004
09h21m48s	 2.6529e+017	 1.2968e+017	-6.9969e-001	 1.1124e-002	  5.249882e+004
09h22m48s	 2.5555e+017	 1.3028e+017	-7.0029e-001	 1.1133e-002	  4.456903e+004
09h23m48s	 2.6327e+017	 1.2980e+017	-6.9955e-001	 1.1130e-002	  5.047022e+004
09h24m48s	 2.6675e+017	 1.2987e+017	-7.0024e-001	 1.1115e-002	  4.601028e+004
09h25m48s	 2.6425e+017	 1.2989e+017	-7.0023e-001	 1.1121e-002	  4.469994e+004
09h26m48s	 2.5924e+017	 1.2977e+017	-7.0011e-001	 1.1132e-002	  4.563005e+004
09h27m48s	 2.6849e+017	 1.2976e+017	-6.9983e-001	 1.1117e-002	  4.919488e+004
09h28m48s	 2.4162e+017	 1.3085e+017	-7.0310e-001	 1.1102e-002	  3.560707e+004
09h29m48s	 2.6707e+017	 1.2945e+017	-7.0009e-001	 1.1118e-002	  5.098812e+004
09h30m48s	 2.5979e+017	 1.2999e+017	-7.0057e-001	 1.1121e-002	  4.521807e+004
09h31m48s	 2.4739e+017	 1.3124e+017	-7.0260e-001	 1.1110e-002	  3.652960e+004
09h32m48s	 2.6739e+017	 1.3037e+017	-6.9975e-001	 1.1125e-002	  5.054257e+004
09h33m48s	 2.6971e+017	 1.2973e+017	-7.0001e-001	 1.1131e-002	  5.069863e+004
09h34m48s	 2.5349e+017	 1.2984e+017	-7.0056e-001	 1.1124e-002	  4.482167e+004
09h35m48s	 2.5449e+017	 1.3023e+017	-7.0163e-001	 1.1115e-002	  4.048355e+004
09h36m48s	 2.6065e+017	 1.3041e+017	-7.0024e-001	 1.1133e-002	  4.464631e+004
09h37m48s	 2.3877e+017	 1.3078e+017	-7.0270e-001	 1.1105e-002	  3.599288e+004
09h38m48s	 2.6707e+017	 1.2990e+017	-7.0009e-001	 1.1125e-002	  4.606917e+004
09h39m48s	 2.6787e+017	 1.3014e+017	-7.0016e-001	 1.1128e-002	  4.608701e+004
09h40m48s	 2.6007e+017	 1.2994e+017	-7.0033e-001	 1.1125e-002	  4.363729e+004
09h41m48s	 2.6388e+017	 1.2993e+017	-7.0044e-001	 1.1127e-002	  4.352139e+004
09h42m50s	 2.5906e+017	 1.3029e+017	-7.0059e-001	 1.1126e-002	  4.569265e+004
09h43m48s	 2.5190e+017	 1.3044e+017	-7.0114e-001	 1.1111e-002	  4.210788e+004
09h44m50s	 2.6760e+017	 1.2964e+017	-6.9983e-001	 1.1128e-002	  5.193769e+004
09h45m48s	 2.5764e+017	 1.2967e+017	-6.9969e-001	 1.1131e-002	  4.998305e+004
09h46m48s	 2.5654e+017	 1.3040e+017	-7.0015e-001	 1.1133e-002	  4.506249e+004
09h47m48s	 2.7516e+017	 1.3027e+017	-7.0007e-001	 1.1115e-002	  4.658316e+004
09h48m48s	 2.7306e+017	 1.3042e+017	-7.0044e-001	 1.1112e-002	  4.574803e+004
09h49m48s	 2.4562e+017	 1.3041e+017	-7.0062e-001	 1.1146e-002	  4.517796e+004
09h50m48s	 2.6868e+017	 1.3010e+017	-7.0055e-001	 1.1116e-002	  4.319252e+004
09h51m48s	 2.4717e+017	 1.3158e+017	-7.0472e-001	 1.1065e-002	  3.014406e+004
09h52m48s	 2.4786e+017	 1.3028e+017	-7.0290e-001	 1.1106e-002	  3.512791e+004
09h53m48s	 2.3930e+017	 1.3077e+017	-7.0238e-001	 1.1112e-002	  3.699202e+004
09h54m48s	 2.7486e+017	 1.3004e+017	-7.0047e-001	 1.1116e-002	  4.567868e+004
09h55m48s	 2.6909e+017	 1.2995e+017	-7.0045e-001	 1.1111e-002	  4.555849e+004
09h56m48s	 2.5492e+017	 1.3039e+017	-7.0008e-001	 1.1131e-002	  4.518783e+004
09h57m48s	 2.6603e+017	 1.2966e+017	-6.9948e-001	 1.1126e-002	  5.314256e+004
09h58m48s	 2.5648e+017	 1.3032e+017	-6.9999e-001	 1.1116e-002	  4.505109e+004
09h59m50s	 2.6534e+017	 1.2969e+017	-6.9969e-001	 1.1125e-002	  5.259628e+004
10h00m48s	 2.5609e+017	 1.3078e+017	-7.0211e-001	 1.1097e-002	  3.848120e+004
10h01m50s	 2.6509e+017	 1.2952e+017	-6.9949e-001	 1.1133e-002	  5.395414e+004
10h02m48s	 2.4603e+017	 1.3014e+017	-7.0327e-001	 1.1088e-002	  3.424092e+004
10h03m48s	 2.4761e+017	 1.3116e+017	-7.0256e-001	 1.1102e-002	  3.632398e+004
10h04m48s	 2.5476e+017	 1.3055e+017	-7.0093e-001	 1.1127e-002	  4.327307e+004
10h05m48s	 2.5663e+017	 1.3079e+017	-7.0250e-001	 1.1108e-002	  3.800456e+004
10h06m48s	 2.6000e+017	 1.2977e+017	-7.0019e-001	 1.1125e-002	  4.494763e+004
10h07m48s	 2.6066e+017	 1.2974e+017	-7.0038e-001	 1.1133e-002	  4.408705e+004
10h08m48s	 2.6238e+017	 1.2976e+017	-7.0030e-001	 1.1118e-002	  4.511643e+004
10h09m48s	 2.6159e+017	 1.2987e+017	-7.0031e-001	 1.1133e-002	  4.428002e+004
10h10m48s	 2.6108e+017	 1.2969e+017	-6.9985e-001	 1.1127e-002	  4.903129e+004
10h11m48s	 2.6827e+017	 1.2969e+017	-6.9968e-001	 1.1131e-002	  5.138992e+004
10h12m48s	 2.7436e+017	 1.3007e+017	-6.9995e-001	 1.1132e-002	  4.875188e+004
10h13m48s	 2.5639e+017	 1.3084e+017	-7.0243e-001	 1.1101e-002	  3.734213e+004
10h14m48s	 2.6569e+017	 1.3011e+017	-6.9993e-001	 1.1130e-002	  5.047394e+004
10h15m48s	 2.5328e+017	 1.2994e+017	-7.0127e-001	 1.1112e-002	  4.148678e+004
10h16m48s	 2.6841e+017	 1.2986e+017	-6.9986e-001	 1.1132e-002	  4.660424e+004
10h17m48s	 2.5986e+017	 1.2979e+017	-7.0028e-001	 1.1121e-002	  4.376077e+004
10h18m50s	 2.6317e+017	 1.3015e+017	-6.9989e-001	 1.1132e-002	  5.081452e+004
10h19m48s	 2.6607e+017	 1.2991e+017	-7.0017e-001	 1.1130e-002	  4.625969e+004
10h20m50s	 2.6250e+017	 1.3040e+017	-7.0100e-001	 1.1110e-002	  4.104588e+004
10h21m48s	 2.6876e+017	 1.2968e+017	-6.9957e-001	 1.1122e-002	  5.121610e+004
10h22m48s	 2.6726e+017	 1.2991e+017	-7.0024e-001	 1.1121e-002	  4.515400e+004
10h23m48s	 2.3892e+017	 1.3110e+017	-7.0329e-001	 1.1099e-002	  3.352104e+004
10h24m48s	 2.5994e+017	 1.3001e+017	-7.0069e-001	 1.1121e-002	  4.325312e+004
10h25m48s	 2.7580e+017	 1.3034e+017	-7.0036e-001	 1.1123e-002	  4.453738e+004
10h26m48s	 2.6533e+017	 1.2963e+017	-7.0003e-001	 1.1115e-002	  4.614868e+004
10h27m48s	 2.4903e+017	 1.3158e+017	-7.0615e-001	 1.1054e-002	  2.827192e+004
10h28m48s	 2.6142e+017	 1.2966e+017	-7.0030e-001	 1.1124e-002	  4.438546e+004
10h29m48s	 2.4181e+017	 1.3047e+017	-7.0078e-001	 1.1133e-002	  4.480979e+004
10h30m48s	 2.3728e+017	 1.3042e+017	-7.0334e-001	 1.1101e-002	  3.375128e+004
10h31m48s	 2.6003e+017	 1.2978e+017	-7.0068e-001	 1.1124e-002	  4.362892e+004
10h32m48s	 2.6207e+017	 1.2969e+017	-7.0043e-001	 1.1128e-002	  4.540278e+004
10h33m50s	 2.3883e+017	 1.3126e+017	-7.0448e-001	 1.1080e-002	  3.106311e+004
10h34m48s	 2.4003e+017	 1.3060e+017	-7.0156e-001	 1.1124e-002	  3.999627e+004
10h35m48s	 2.5755e+017	 1.3041e+017	-7.0038e-001	 1.1133e-002	  4.674514e+004
10h36m48s	 2.6979e+017	 1.3058e+017	-7.0015e-001	 1.1114e-002	  4.420983e+004
10h37m48s	 2.5991e+017	 1.3002e+017	-7.0070e-001	 1.1117e-002	  4.123323e+004
10h38m48s	 2.6443e+017	 1.2993e+017	-7.0011e-001	 1.1126e-002	  4.883657e+004
10h39m48s	 2.7026e+017	 1.3015e+017	-7.0051e-001	 1.1115e-002	  4.421772e+004
10h40m48s	 2.7916e+017	 1.3017e+017	-6.9995e-001	 1.1110e-002	  4.919251e+004
10h41m48s	 2.6669e+017	 1.3024e+017	-7.0039e-001	 1.1116e-002	  4.352406e+004
10h42m48s	 2.7086e+017	 1.2990e+017	-6.9986e-001	 1.1118e-002	  4.887874e+004
10h43m48s	 2.7260e+017	 1.3009e+017	-7.0007e-001	 1.1124e-002	  4.565109e+004
10h44m48s	 2.6640e+017	 1.2924e+017	-7.0019e-001	 1.1108e-002	  4.945593e+004
10h45m48s	 2.7252e+017	 1.3010e+017	-7.0008e-001	 1.1119e-002	  4.577215e+004
10h46m48s	 2.4088e+017	 1.3125e+017	-7.0428e-001	 1.1089e-002	  3.161254e+004
10h47m48s	 2.7042e+017	 1.2900e+017	-7.0059e-001	 1.1117e-002	  4.278464e+004
10h48m50s	 2.6956e+017	 1.2980e+017	-7.0013e-001	 1.1118e-002	  4.772623e+004
10h49m48s	 2.4146e+017	 1.3087e+017	-7.0252e-001	 1.1124e-002	  3.660780e+004
10h50m50s	 2.6320e+017	 1.2996e+017	-7.0036e-001	 1.1122e-002	  4.545058e+004
10h51m48s	 2.6264e+017	 1.2978e+017	-6.9966e-001	 1.1130e-002	  5.026594e+004
10h52m48s	 2.6369e+017	 1.2932e+017	-7.0034e-001	 1.1127e-002	  4.253748e+004
10h53m48s	 2.6435e+017	 1.3022e+017	-7.0037e-001	 1.1121e-002	  4.444491e+004
10h54m48s	 2.6185e+017	 1.2998e+017	-7.0074e-001	 1.1119e-002	  4.253717e+004
10h55m48s	 2.6430e+017	 1.3022e+017	-7.0083e-001	 1.1114e-002	  4.419856e+004
10h56m48s	 2.4867e+017	 1.3030e+017	-6.9998e-001	 1.1139e-002	  4.813416e+004
10h57m48s	 2.6447e+017	 1.3011e+017	-6.9964e-001	 1.1129e-002	  5.126310e+004
10h58m48s	 2.6994e+017	 1.3039e+017	-6.9987e-001	 1.1131e-002	  4.984221e+004
10h59m50s	 2.6882e+017	 1.2992e+017	-7.0030e-001	 1.1128e-002	  4.744366e+004
11h00m48s	 2.5978e+017	 1.3067e+017	-7.0200e-001	 1.1106e-002	  3.835190e+004
11h01m50s	 2.6975e+017	 1.3000e+017	-7.0015e-001	 1.1122e-002	  4.692667e+004
11h02m48s	 2.6327e+017	 1.2992e+017	-7.0053e-001	 1.1120e-002	  4.211364e+004
11h03m48s	 2.5126e+017	 1.3103e+017	-7.0291e-001	 1.1095e-002	  3.321036e+004
11h04m48s	 2.7029e+017	 1.2978e+017	-6.9946e-001	 1.1136e-002	  5.215411e+004
11h05m48s	 2.7600e+017	 1.3021e+017	-7.0011e-001	 1.1113e-002	  4.480214e+004
11h06m48s	 2.5603e+017	 1.3022e+017	-7.0094e-001	 1.1118e-002	  4.226195e+004
11h07m48s	 2.5960e+017	 1.2979e+017	-7.0029e-001	 1.1129e-002	  4.546022e+004
11h08m48s	 2.5657e+017	 1.3022e+017	-7.0168e-001	 1.1102e-002	  3.932653e+004
11h09m48s	 2.7487e+017	 1.3007e+017	-6.9992e-001	 1.1130e-002	  4.995751e+004
11h10m48s	 2.3991e+017	 1.3094e+017	-7.0278e-001	 1.1121e-002	  3.591582e+004
11h11m48s	 2.6574e+017	 1.2805e+017	-7.0004e-001	 1.1120e-002	  4.758202e+004
11h12m48s	 2.4325e+017	 1.3059e+017	-7.0083e-001	 1.1129e-002	  4.409428e+004
11h13m48s	 2.7221e+017	 1.2969e+017	-6.9959e-001	 1.1127e-002	  5.116013e+004
11h14m48s	 2.6647e+017	 1.3012e+017	-7.0028e-001	 1.1120e-002	  4.529497e+004
11h15m48s	 2.7105e+017	 1.3014e+017	-7.0003e-001	 1.1113e-002	  4.804066e+004
11h16m48s	 2.7951e+017	 1.3025e+017	-7.0013e-001	 1.1110e-002	  4.894647e+004
11h17m48s	 2.5271e+017	 1.3046e+017	-7.0030e-001	 1.1137e-002	  4.558678e+004
11h18m48s	 2.6243e+017	 1.2962e+017	-6.9975e-001	 1.1126e-002	  5.224634e+004
11h19m48s	 2.5680e+017	 1.2974e+017	-7.0009e-001	 1.1139e-002	  4.702394e+004
11h20m50s	 2.6247e+017	 1.2991e+017	-6.9984e-001	 1.1129e-002	  4.859258e+004
11h21m48s	 2.6454e+017	 1.3024e+017	-7.0128e-001	 1.1120e-002	  4.207324e+004
11h22m48s	 2.4818e+017	 1.3063e+017	-7.0158e-001	 1.1109e-002	  3.986335e+004
11h23m48s	 2.5721e+017	 1.2964e+017	-6.9995e-001	 1.1127e-002	  4.779365e+004
11h24m48s	 2.7174e+017	 1.2935e+017	-7.0018e-001	 1.1115e-002	  4.509295e+004
11h25m48s	 2.3808e+017	 1.3131e+017	-7.0458e-001	 1.1078e-002	  3.138408e+004
11h26m48s	 2.3775e+017	 1.3109e+017	-7.0358e-001	 1.1105e-002	  3.373882e+004
11h27m48s	 2.6936e+017	 1.2982e+017	-6.9991e-001	 1.1123e-002	  5.045904e+004
11h28m48s	 2.6351e+017	 1.3023e+017	-6.9994e-001	 1.1126e-002	  4.975212e+004
11h29m48s	 2.6761e+017	 1.2994e+017	-6.9986e-001	 1.1130e-002	  5.043590e+004
11h30m48s	 2.6401e+017	 1.3002e+017	-7.0059e-001	 1.1129e-002	  4.419714e+004
11h31m48s	 2.6196e+017	 1.3030e+017	-7.0131e-001	 1.1106e-002	  4.050384e+004
11h32m48s	 2.5928e+017	 1.2972e+017	-7.0040e-001	 1.1124e-002	  4.480007e+004
11h33m48s	 2.4243e+017	 1.3044e+017	-7.0086e-001	 1.1129e-002	  4.469247e+004
11h34m48s	 2.6253e+017	 1.2993e+017	-7.0079e-001	 1.1118e-002	  4.285458e+004
11h35m48s	 2.5416e+017	 1.3046e+017	-7.0200e-001	 1.1108e-002	  3.810656e+004
11h36m48s	 2.4523e+017	 1.3052e+017	-7.0088e-001	 1.1126e-002	  4.340341e+004
11h37m50s	 2.5940e+017	 1.2988e+017	-7.0028e-001	 1.1129e-002	  4.462412e+004
11h38m48s	 2.7211e+017	 1.2996e+017	-6.9998e-001	 1.1125e-002	  5.089280e+004
11h39m48s	 2.6219e+017	 1.3004e+017	-7.0001e-001	 1.1123e-002	  4.784018e+004
11h40m48s	 2.6097e+017	 1.3041e+017	-7.0021e-001	 1.1124e-002	  4.696242e+004
11h41m48s	 2.3805e+017	 1.3121e+017	-7.0330e-001	 1.1101e-002	  3.405620e+004
11h42m48s	 2.4025e+017	 1.3077e+017	-7.0185e-001	 1.1128e-002	  3.928106e+004
11h43m48s	 2.4281e+017	 1.3046e+017	-7.0061e-001	 1.1133e-002	  4.445368e+004
11h44m48s	 2.7561e+017	 1.3054e+017	-7.0031e-001	 1.1115e-002	  4.430457e+004
11h45m48s	 2.6962e+017	 1.2976e+017	-7.0028e-001	 1.1114e-002	  4.865948e+004
11h46m48s	 2.5957e+017	 1.3028e+017	-7.0094e-001	 1.1123e-002	  4.349608e+004
11h47m48s	 2.6115e+017	 1.3038e+017	-6.9997e-001	 1.1124e-002	  4.547842e+004
11h48m48s	 2.5452e+017	 1.3035e+017	-6.9981e-001	 1.1133e-002	  4.614797e+004
11h49m48s	 2.6890e+017	 1.2960e+017	-6.9978e-001	 1.1126e-002	  5.140721e+004
11h50m48s	 2.4500e+017	 1.3048e+017	-7.0136e-001	 1.1124e-002	  4.145554e+004
11h51m48s	 2.6475e+017	 1.3010e+017	-7.0052e-001	 1.1125e-002	  4.159842e+004
11h52m48s	 2.6200e+017	 1.3013e+017	-7.0086e-001	 1.1124e-002	  4.502244e+004
11h53m48s	 2.6593e+017	 1.2994e+017	-7.0030e-001	 1.1123e-002	  4.641068e+004
11h54m48s	 2.6047e+017	 1.2982e+017	-7.0001e-001	 1.1130e-002	  4.693319e+004
